ax,ay,az,gx,gy,gz,label
11.0,-256.0,-10.0,12.0,70.0,-2.0,0
14.0,-253.0,-8.0,13.0,70.0,-2.0,0
16.0,-254.0,-11.0,11.0,69.0,-2.0,0
14.0,-256.0,-9.0,10.0,69.0,-2.0,0
13.0,-255.0,-10.0,9.0,69.0,0.0,0
16.0,-251.0,-13.0,7.0,70.0,0.0,0
14.0,-258.0,-11.0,4.0,71.0,-3.0,0
14.0,-256.0,-11.0,3.0,71.0,-2.0,0
14.0,-255.0,-11.0,1.0,72.0,-3.0,0
15.0,-254.0,-6.0,-1.0,72.0,-3.0,0
14.0,-257.0,-7.0,-2.0,72.0,-3.0,0
14.0,-257.0,-7.0,-1.0,73.0,-4.0,0
15.0,-255.0,-12.0,-2.0,71.0,-5.0,0
13.0,-255.0,-11.0,0.0,72.0,-5.0,0
15.0,-253.0,-18.0,3.0,72.0,-6.0,0
15.0,-257.0,-12.0,5.0,72.0,-7.0,0
12.0,-255.0,-10.0,6.0,69.0,-7.0,0
15.0,-256.0,-6.0,8.0,70.0,-8.0,0
13.0,-255.0,-8.0,10.0,69.0,-7.0,0
15.0,-253.0,-10.0,10.0,68.0,-7.0,0
17.0,-257.0,-13.0,11.0,68.0,-6.0,0
15.0,-259.0,-10.0,13.0,69.0,-5.0,0
15.0,-256.0,-7.0,13.0,70.0,-5.0,0
17.0,-256.0,-7.0,13.0,69.0,-4.0,0
18.0,-257.0,-8.0,12.0,69.0,-6.0,0
15.0,-255.0,-8.0,13.0,69.0,-5.0,0
15.0,-254.0,-13.0,13.0,68.0,-5.0,0
16.0,-257.0,-12.0,14.0,72.0,-6.0,0
15.0,-257.0,-10.0,14.0,70.0,-6.0,0
15.0,-256.0,-9.0,15.0,70.0,-8.0,0
14.0,-254.0,-12.0,16.0,71.0,-8.0,0
18.0,-254.0,-12.0,16.0,73.0,-8.0,0
15.0,-254.0,-10.0,14.0,72.0,-6.0,0
15.0,-256.0,-11.0,13.0,73.0,-6.0,0
14.0,-255.0,-7.0,11.0,74.0,-7.0,0
16.0,-257.0,-8.0,9.0,74.0,-5.0,0
14.0,-257.0,-8.0,7.0,75.0,-5.0,0
18.0,-256.0,-5.0,7.0,73.0,-6.0,0
17.0,-256.0,-7.0,6.0,74.0,-5.0,0
15.0,-255.0,-8.0,6.0,72.0,-5.0,0
13.0,-255.0,-7.0,5.0,71.0,-4.0,0
16.0,-256.0,-9.0,5.0,70.0,-4.0,0
18.0,-256.0,-6.0,6.0,71.0,-4.0,0
15.0,-256.0,-7.0,8.0,71.0,-4.0,0
15.0,-258.0,-10.0,6.0,72.0,-4.0,0
16.0,-259.0,-9.0,6.0,74.0,-5.0,0
18.0,-256.0,-7.0,6.0,75.0,-5.0,0
16.0,-257.0,-9.0,7.0,74.0,-4.0,0
13.0,-254.0,-7.0,7.0,74.0,-4.0,0
17.0,-257.0,-9.0,9.0,75.0,-5.0,0
16.0,-257.0,-8.0,12.0,75.0,-5.0,0
15.0,-257.0,-6.0,14.0,76.0,-7.0,0
16.0,-257.0,-9.0,16.0,76.0,-8.0,0
14.0,-254.0,-7.0,16.0,74.0,-7.0,0
15.0,-257.0,-10.0,18.0,75.0,-8.0,0
13.0,-255.0,-8.0,19.0,74.0,-7.0,0
16.0,-254.0,-13.0,22.0,75.0,-7.0,0
10.0,-256.0,-9.0,23.0,73.0,-7.0,0
14.0,-257.0,-8.0,25.0,73.0,-7.0,0
14.0,-259.0,-10.0,24.0,73.0,-7.0,0
15.0,-256.0,-9.0,25.0,73.0,-7.0,0
14.0,-252.0,-8.0,26.0,73.0,-6.0,0
14.0,-255.0,-9.0,25.0,74.0,-7.0,0
14.0,-256.0,-9.0,27.0,75.0,-5.0,0
15.0,-257.0,-10.0,28.0,76.0,-5.0,0
13.0,-255.0,-7.0,26.0,77.0,-5.0,0
15.0,-254.0,-6.0,27.0,78.0,-6.0,0
11.0,-255.0,-5.0,27.0,77.0,-8.0,0
17.0,-255.0,-9.0,26.0,76.0,-7.0,0
14.0,-253.0,-5.0,26.0,76.0,-6.0,0
8.0,-253.0,-9.0,26.0,73.0,-6.0,0
17.0,-253.0,-8.0,27.0,72.0,-5.0,0
14.0,-251.0,-8.0,25.0,75.0,-6.0,0
16.0,-252.0,-7.0,20.0,73.0,-6.0,0
12.0,-252.0,-5.0,16.0,74.0,-6.0,0
14.0,-250.0,-4.0,11.0,72.0,-7.0,0
14.0,-252.0,-6.0,8.0,71.0,-7.0,0
16.0,-254.0,-4.0,2.0,73.0,-8.0,0
15.0,-257.0,-4.0,-1.0,73.0,-9.0,0
15.0,-253.0,-1.0,-4.0,72.0,-10.0,0
15.0,-259.0,4.0,-6.0,73.0,-11.0,0
16.0,-257.0,0.0,-6.0,74.0,-9.0,0
18.0,-262.0,1.0,-3.0,73.0,-9.0,0
20.0,-262.0,1.0,3.0,72.0,-10.0,0
16.0,-258.0,-1.0,10.0,70.0,-9.0,0
15.0,-258.0,-5.0,19.0,70.0,-10.0,0
15.0,-260.0,-5.0,31.0,70.0,-7.0,0
20.0,-260.0,-4.0,41.0,68.0,-6.0,0
15.0,-258.0,-6.0,49.0,69.0,-5.0,0
16.0,-256.0,-4.0,55.0,69.0,-5.0,0
13.0,-257.0,-7.0,57.0,70.0,-5.0,0
13.0,-255.0,-4.0,57.0,70.0,-6.0,0
12.0,-260.0,-2.0,52.0,71.0,-5.0,0
13.0,-254.0,-7.0,46.0,70.0,-6.0,0
12.0,-251.0,-8.0,39.0,69.0,-7.0,0
14.0,-254.0,-6.0,32.0,69.0,-7.0,0
13.0,-255.0,-5.0,26.0,68.0,-9.0,0
13.0,-256.0,-7.0,20.0,68.0,-9.0,0
16.0,-258.0,-3.0,17.0,68.0,-11.0,0
17.0,-258.0,-6.0,14.0,69.0,-13.0,0
15.0,-258.0,-5.0,16.0,72.0,-13.0,0
15.0,-258.0,-7.0,22.0,74.0,-14.0,0
15.0,-257.0,-4.0,28.0,76.0,-15.0,0
15.0,-258.0,-4.0,39.0,79.0,-13.0,0
17.0,-258.0,-8.0,50.0,80.0,-14.0,0
16.0,-257.0,-11.0,60.0,80.0,-14.0,0
12.0,-257.0,-11.0,69.0,80.0,-14.0,0
15.0,-255.0,-6.0,75.0,79.0,-14.0,0
15.0,-254.0,-9.0,78.0,75.0,-14.0,0
16.0,-256.0,-10.0,76.0,71.0,-13.0,0
17.0,-253.0,-5.0,73.0,67.0,-10.0,0
14.0,-254.0,-9.0,71.0,66.0,-10.0,0
14.0,-255.0,-10.0,67.0,66.0,-9.0,0
