ax,ay,az,gx,gy,gz,label
19.0,-223.0,-124.0,-55.0,47.0,3.0,0
19.0,-223.0,-130.0,-59.0,45.0,6.0,0
19.0,-221.0,-125.0,-63.0,46.0,4.0,0
19.0,-223.0,-128.0,-69.0,43.0,5.0,0
21.0,-225.0,-129.0,-75.0,43.0,3.0,0
21.0,-221.0,-128.0,-79.0,43.0,3.0,0
23.0,-225.0,-127.0,-81.0,43.0,2.0,0
20.0,-222.0,-125.0,-80.0,43.0,3.0,0
18.0,-221.0,-130.0,-77.0,44.0,1.0,0
23.0,-222.0,-132.0,-73.0,42.0,-1.0,0
22.0,-222.0,-126.0,-68.0,44.0,-5.0,0
21.0,-224.0,-130.0,-61.0,45.0,-6.0,0
26.0,-223.0,-130.0,-55.0,44.0,-8.0,0
20.0,-223.0,-130.0,-47.0,45.0,-10.0,0
22.0,-222.0,-126.0,-44.0,45.0,-13.0,0
20.0,-226.0,-132.0,-41.0,48.0,-12.0,0
22.0,-222.0,-129.0,-34.0,48.0,-13.0,0
21.0,-226.0,-127.0,-31.0,48.0,-14.0,0
22.0,-224.0,-125.0,-28.0,49.0,-16.0,0
21.0,-221.0,-128.0,-26.0,49.0,-15.0,0
21.0,-224.0,-126.0,-25.0,51.0,-16.0,0
23.0,-224.0,-126.0,-25.0,49.0,-12.0,0
15.0,-219.0,-124.0,-23.0,48.0,-12.0,0
21.0,-238.0,-126.0,-23.0,49.0,-8.0,0
15.0,-227.0,-131.0,-22.0,49.0,-7.0,0
24.0,-219.0,-128.0,-20.0,49.0,-2.0,0
21.0,-229.0,-123.0,-19.0,48.0,-2.0,0
19.0,-217.0,-125.0,-19.0,50.0,1.0,0
18.0,-224.0,-132.0,-19.0,51.0,3.0,0
30.0,-219.0,-121.0,-22.0,51.0,4.0,0
20.0,-218.0,-125.0,-24.0,53.0,5.0,0
25.0,-215.0,-131.0,-27.0,54.0,6.0,0
22.0,-224.0,-124.0,-28.0,56.0,6.0,0
19.0,-219.0,-132.0,-29.0,57.0,7.0,0
22.0,-223.0,-125.0,-30.0,59.0,5.0,0
20.0,-217.0,-130.0,-29.0,62.0,6.0,0
15.0,-232.0,-132.0,-26.0,64.0,6.0,0
33.0,-217.0,-134.0,-27.0,65.0,8.0,0
25.0,-220.0,-126.0,-25.0,68.0,8.0,0
18.0,-229.0,-115.0,-23.0,71.0,10.0,0
20.0,-223.0,-130.0,-23.0,71.0,9.0,0
20.0,-222.0,-131.0,-23.0,70.0,8.0,0
22.0,-226.0,-130.0,-21.0,70.0,8.0,0
21.0,-224.0,-131.0,-21.0,70.0,9.0,0
27.0,-220.0,-127.0,-19.0,69.0,7.0,0
20.0,-220.0,-125.0,-18.0,68.0,8.0,0
19.0,-222.0,-125.0,-17.0,68.0,7.0,0
23.0,-225.0,-132.0,-16.0,66.0,10.0,0
21.0,-222.0,-130.0,-15.0,66.0,10.0,0
23.0,-217.0,-125.0,-17.0,64.0,9.0,0
20.0,-222.0,-127.0,-17.0,63.0,9.0,0
23.0,-223.0,-130.0,-19.0,62.0,10.0,0
22.0,-224.0,-124.0,-20.0,62.0,9.0,0
21.0,-222.0,-127.0,-21.0,61.0,9.0,0
19.0,-223.0,-128.0,-21.0,61.0,8.0,0
21.0,-221.0,-131.0,-22.0,63.0,5.0,0
23.0,-222.0,-133.0,-20.0,64.0,2.0,0
24.0,-224.0,-125.0,-18.0,66.0,1.0,0
25.0,-222.0,-128.0,-17.0,67.0,-2.0,0
24.0,-225.0,-129.0,-15.0,68.0,-4.0,0
21.0,-223.0,-127.0,-16.0,70.0,-6.0,0
22.0,-221.0,-128.0,-18.0,72.0,-8.0,0
21.0,-223.0,-126.0,-16.0,71.0,-8.0,0
22.0,-221.0,-125.0,-19.0,70.0,-7.0,0
22.0,-223.0,-129.0,-19.0,70.0,-8.0,0
18.0,-224.0,-124.0,-20.0,69.0,-7.0,0
18.0,-222.0,-127.0,-21.0,68.0,-8.0,0
20.0,-225.0,-124.0,-22.0,67.0,-5.0,0
19.0,-223.0,-127.0,-23.0,66.0,-6.0,0
21.0,-222.0,-127.0,-21.0,66.0,-4.0,0
19.0,-221.0,-129.0,-19.0,64.0,-4.0,0
20.0,-223.0,-128.0,-18.0,64.0,-3.0,0
19.0,-222.0,-126.0,-19.0,64.0,-2.0,0
19.0,-221.0,-127.0,-19.0,64.0,-1.0,0
18.0,-219.0,-127.0,-20.0,64.0,0.0,0
19.0,-224.0,-127.0,-19.0,65.0,1.0,0
19.0,-223.0,-124.0,-19.0,65.0,-1.0,0
19.0,-220.0,-130.0,-21.0,68.0,-1.0,0
21.0,-224.0,-131.0,-24.0,67.0,-3.0,0
15.0,-218.0,-130.0,-26.0,66.0,-4.0,0
19.0,-223.0,-129.0,-31.0,67.0,-5.0,0
20.0,-221.0,-131.0,-32.0,66.0,-7.0,0
19.0,-221.0,-130.0,-35.0,67.0,-8.0,0
19.0,-220.0,-132.0,-36.0,66.0,-8.0,0
20.0,-221.0,-127.0,-36.0,65.0,-9.0,0
19.0,-222.0,-131.0,-37.0,65.0,-9.0,0
19.0,-223.0,-134.0,-33.0,64.0,-9.0,0
22.0,-224.0,-131.0,-30.0,62.0,-9.0,0
18.0,-220.0,-128.0,-25.0,61.0,-9.0,0
21.0,-223.0,-129.0,-20.0,59.0,-6.0,0
23.0,-222.0,-129.0,-17.0,57.0,-6.0,0
22.0,-223.0,-131.0,-11.0,53.0,-6.0,0
22.0,-221.0,-129.0,-7.0,51.0,-6.0,0
22.0,-222.0,-132.0,-4.0,50.0,-5.0,0
20.0,-223.0,-130.0,-3.0,47.0,-6.0,0
24.0,-224.0,-127.0,-2.0,45.0,-5.0,0
21.0,-226.0,-133.0,-1.0,43.0,-8.0,0
20.0,-224.0,-132.0,2.0,43.0,-6.0,0
23.0,-222.0,-131.0,4.0,43.0,-7.0,0
21.0,-223.0,-135.0,7.0,42.0,-7.0,0
20.0,-223.0,-129.0,8.0,46.0,-8.0,0
21.0,-224.0,-130.0,9.0,47.0,-8.0,0
20.0,-222.0,-131.0,8.0,50.0,-9.0,0
21.0,-226.0,-132.0,7.0,50.0,-10.0,0
20.0,-225.0,-132.0,7.0,52.0,-11.0,0
21.0,-222.0,-129.0,7.0,55.0,-12.0,0
20.0,-225.0,-127.0,7.0,57.0,-11.0,0
22.0,-225.0,-128.0,7.0,58.0,-10.0,0
22.0,-223.0,-128.0,5.0,60.0,-11.0,0
19.0,-221.0,-127.0,6.0,60.0,-9.0,0
