ax,ay,az,gx,gy,gz,label
5.0,-235.0,-76.0,50.0,4.0,-23.0,1
5.0,-239.0,-75.0,51.0,5.0,-23.0,1
8.0,-237.0,-81.0,51.0,4.0,-23.0,1
4.0,-235.0,-79.0,51.0,5.0,-21.0,1
8.0,-232.0,-76.0,51.0,4.0,-21.0,1
4.0,-231.0,-78.0,50.0,5.0,-21.0,1
7.0,-235.0,-75.0,49.0,6.0,-21.0,1
10.0,-239.0,-74.0,47.0,6.0,-22.0,1
3.0,-234.0,-73.0,46.0,6.0,-22.0,1
16.0,-244.0,-79.0,45.0,7.0,-21.0,1
11.0,-234.0,-80.0,43.0,6.0,-19.0,1
1.0,-237.0,-74.0,44.0,7.0,-19.0,1
5.0,-229.0,-79.0,42.0,8.0,-18.0,1
2.0,-242.0,-80.0,42.0,10.0,-17.0,1
7.0,-230.0,-83.0,38.0,10.0,-16.0,1
5.0,-236.0,-79.0,36.0,11.0,-17.0,1
10.0,-235.0,-79.0,35.0,12.0,-19.0,1
5.0,-235.0,-76.0,33.0,13.0,-16.0,1
2.0,-233.0,-74.0,31.0,12.0,-17.0,1
0.0,-238.0,-68.0,30.0,10.0,-17.0,1
5.0,-239.0,-93.0,31.0,11.0,-15.0,1
3.0,-236.0,-67.0,31.0,10.0,-16.0,1
8.0,-234.0,-84.0,31.0,9.0,-15.0,1
9.0,-232.0,-86.0,33.0,10.0,-16.0,1
3.0,-231.0,-79.0,35.0,9.0,-14.0,1
8.0,-233.0,-77.0,39.0,9.0,-14.0,1
10.0,-237.0,-86.0,43.0,10.0,-15.0,1
3.0,-234.0,-85.0,44.0,12.0,-15.0,1
9.0,-233.0,-76.0,48.0,11.0,-16.0,1
5.0,-233.0,-78.0,50.0,11.0,-16.0,1
0.0,-233.0,-84.0,53.0,11.0,-15.0,1
6.0,-236.0,-75.0,56.0,13.0,-14.0,1
5.0,-236.0,-67.0,58.0,13.0,-16.0,1
6.0,-240.0,-80.0,59.0,12.0,-17.0,1
3.0,-228.0,-81.0,60.0,13.0,-16.0,1
4.0,-233.0,-78.0,58.0,13.0,-17.0,1
5.0,-230.0,-79.0,57.0,15.0,-16.0,1
3.0,-235.0,-77.0,55.0,16.0,-16.0,1
6.0,-233.0,-81.0,54.0,16.0,-17.0,1
5.0,-231.0,-80.0,51.0,16.0,-18.0,1
5.0,-237.0,-73.0,49.0,17.0,-19.0,1
4.0,-237.0,-82.0,47.0,17.0,-21.0,1
7.0,-238.0,-78.0,50.0,15.0,-23.0,1
3.0,-238.0,-77.0,51.0,14.0,-21.0,1
7.0,-236.0,-76.0,55.0,13.0,-22.0,1
6.0,-234.0,-80.0,59.0,15.0,-22.0,1
15.0,-243.0,-89.0,62.0,14.0,-22.0,1
6.0,-236.0,-81.0,65.0,13.0,-22.0,1
9.0,-237.0,-78.0,66.0,13.0,-20.0,1
7.0,-236.0,-82.0,65.0,13.0,-21.0,1
5.0,-235.0,-83.0,65.0,12.0,-21.0,1
1.0,-237.0,-60.0,67.0,13.0,-23.0,1
8.0,-238.0,-81.0,68.0,14.0,-22.0,1
10.0,-239.0,-78.0,69.0,13.0,-21.0,1
5.0,-235.0,-82.0,70.0,15.0,-21.0,1
5.0,-235.0,-78.0,69.0,15.0,-21.0,1
2.0,-233.0,-70.0,67.0,16.0,-19.0,1
6.0,-238.0,-80.0,65.0,15.0,-19.0,1
9.0,-232.0,-80.0,63.0,16.0,-18.0,1
9.0,-238.0,-81.0,62.0,17.0,-19.0,1
6.0,-232.0,-81.0,62.0,18.0,-18.0,1
2.0,-230.0,-77.0,62.0,19.0,-17.0,1
7.0,-235.0,-78.0,61.0,19.0,-19.0,1
8.0,-235.0,-80.0,61.0,19.0,-18.0,1
5.0,-235.0,-80.0,59.0,20.0,-19.0,1
6.0,-236.0,-81.0,59.0,21.0,-21.0,1
6.0,-242.0,-80.0,56.0,22.0,-21.0,1
7.0,-236.0,-72.0,58.0,22.0,-20.0,1
9.0,-240.0,-79.0,59.0,24.0,-20.0,1
6.0,-236.0,-79.0,60.0,25.0,-22.0,1
5.0,-237.0,-77.0,66.0,26.0,-20.0,1
11.0,-235.0,-76.0,71.0,26.0,-19.0,1
5.0,-235.0,-78.0,75.0,26.0,-18.0,1
4.0,-233.0,-78.0,79.0,26.0,-21.0,1
5.0,-234.0,-80.0,83.0,26.0,-19.0,1
3.0,-236.0,-78.0,86.0,25.0,-19.0,1
6.0,-235.0,-80.0,88.0,25.0,-18.0,1
6.0,-231.0,-84.0,88.0,24.0,-18.0,1
5.0,-235.0,-78.0,87.0,26.0,-19.0,1
4.0,-235.0,-76.0,86.0,25.0,-19.0,1
5.0,-231.0,-78.0,84.0,25.0,-17.0,1
3.0,-230.0,-80.0,81.0,24.0,-17.0,1
5.0,-232.0,-78.0,79.0,24.0,-17.0,1
7.0,-233.0,-78.0,74.0,22.0,-17.0,1
6.0,-231.0,-78.0,73.0,22.0,-18.0,1
6.0,-236.0,-79.0,71.0,23.0,-15.0,1
4.0,-233.0,-78.0,69.0,21.0,-16.0,1
4.0,-235.0,-76.0,70.0,20.0,-14.0,1
3.0,-238.0,-79.0,71.0,19.0,-16.0,1
6.0,-237.0,-76.0,71.0,19.0,-18.0,1
7.0,-238.0,-82.0,74.0,18.0,-17.0,1
8.0,-236.0,-79.0,78.0,17.0,-16.0,1
3.0,-239.0,-72.0,80.0,18.0,-17.0,1
3.0,-237.0,-78.0,83.0,18.0,-16.0,1
8.0,-239.0,-81.0,86.0,19.0,-16.0,1
5.0,-238.0,-78.0,89.0,20.0,-16.0,1
7.0,-239.0,-77.0,92.0,20.0,-17.0,1
7.0,-237.0,-79.0,92.0,20.0,-16.0,1
6.0,-237.0,-79.0,95.0,22.0,-17.0,1
7.0,-236.0,-77.0,94.0,24.0,-17.0,1
7.0,-239.0,-79.0,94.0,24.0,-16.0,1
6.0,-235.0,-76.0,95.0,24.0,-16.0,1
7.0,-237.0,-76.0,96.0,25.0,-17.0,1
5.0,-236.0,-81.0,96.0,23.0,-19.0,1
6.0,-233.0,-80.0,95.0,23.0,-18.0,1
6.0,-234.0,-76.0,93.0,23.0,-18.0,1
6.0,-233.0,-79.0,92.0,25.0,-20.0,1
7.0,-234.0,-76.0,91.0,25.0,-17.0,1
9.0,-235.0,-79.0,91.0,24.0,-18.0,1
8.0,-235.0,-76.0,90.0,24.0,-18.0,1
10.0,-233.0,-81.0,92.0,25.0,-16.0,1
10.0,-235.0,-76.0,92.0,25.0,-15.0,1
3.0,-232.0,-76.0,92.0,26.0,-16.0,1
3.0,-239.0,-77.0,92.0,26.0,-17.0,1
8.0,-235.0,-77.0,92.0,24.0,-17.0,1
6.0,-234.0,-79.0,90.0,24.0,-18.0,1
7.0,-235.0,-74.0,89.0,24.0,-16.0,1
6.0,-235.0,-75.0,89.0,24.0,-17.0,1
7.0,-236.0,-78.0,87.0,24.0,-18.0,1
4.0,-235.0,-74.0,88.0,25.0,-19.0,1
5.0,-235.0,-79.0,87.0,25.0,-20.0,1
6.0,-238.0,-77.0,86.0,23.0,-20.0,1
8.0,-236.0,-78.0,85.0,24.0,-19.0,1
10.0,-236.0,-79.0,84.0,24.0,-20.0,1
6.0,-231.0,-76.0,84.0,25.0,-19.0,1
8.0,-236.0,-78.0,82.0,26.0,-18.0,1
6.0,-235.0,-77.0,80.0,27.0,-18.0,1
7.0,-240.0,-78.0,78.0,28.0,-17.0,1
9.0,-237.0,-78.0,76.0,29.0,-17.0,1
7.0,-236.0,-77.0,75.0,30.0,-15.0,1
10.0,-236.0,-75.0,73.0,31.0,-15.0,1
9.0,-238.0,-74.0,73.0,33.0,-16.0,1
10.0,-238.0,-78.0,72.0,35.0,-16.0,1
8.0,-237.0,-75.0,73.0,36.0,-16.0,1
8.0,-238.0,-78.0,72.0,37.0,-17.0,1
9.0,-239.0,-72.0,73.0,36.0,-16.0,1
9.0,-239.0,-77.0,73.0,37.0,-16.0,1
7.0,-237.0,-75.0,74.0,35.0,-17.0,1
8.0,-234.0,-75.0,74.0,35.0,-17.0,1
7.0,-237.0,-75.0,75.0,32.0,-16.0,1
7.0,-239.0,-76.0,76.0,33.0,-17.0,1
7.0,-234.0,-76.0,78.0,33.0,-18.0,1
8.0,-235.0,-78.0,79.0,33.0,-16.0,1
4.0,-236.0,-75.0,78.0,32.0,-15.0,1
9.0,-237.0,-75.0,80.0,32.0,-15.0,1
5.0,-232.0,-75.0,81.0,33.0,-15.0,1
5.0,-234.0,-79.0,82.0,32.0,-16.0,1
9.0,-238.0,-78.0,82.0,33.0,-17.0,1
5.0,-237.0,-75.0,81.0,31.0,-17.0,1
6.0,-236.0,-75.0,82.0,30.0,-16.0,1
5.0,-235.0,-74.0,82.0,29.0,-17.0,1
7.0,-236.0,-77.0,81.0,28.0,-17.0,1
5.0,-235.0,-75.0,79.0,26.0,-16.0,1
6.0,-235.0,-74.0,80.0,25.0,-17.0,1
7.0,-239.0,-75.0,80.0,25.0,-17.0,1
5.0,-238.0,-76.0,79.0,23.0,-17.0,1
11.0,-241.0,-73.0,80.0,21.0,-15.0,1
4.0,-240.0,-77.0,82.0,19.0,-16.0,1
5.0,-235.0,-73.0,85.0,16.0,-15.0,1
7.0,-239.0,-73.0,87.0,14.0,-14.0,1
7.0,-238.0,-75.0,91.0,11.0,-14.0,1
4.0,-239.0,-76.0,96.0,11.0,-14.0,1
6.0,-240.0,-77.0,99.0,8.0,-12.0,1
8.0,-239.0,-71.0,101.0,7.0,-12.0,1
6.0,-237.0,-75.0,105.0,6.0,-11.0,1
6.0,-240.0,-75.0,107.0,4.0,-13.0,1
8.0,-237.0,-75.0,108.0,4.0,-13.0,1
5.0,-238.0,-75.0,110.0,6.0,-14.0,1
3.0,-242.0,-74.0,112.0,7.0,-14.0,1
6.0,-238.0,-75.0,112.0,8.0,-15.0,1
6.0,-238.0,-75.0,112.0,9.0,-14.0,1
7.0,-239.0,-77.0,110.0,9.0,-15.0,1
5.0,-237.0,-76.0,110.0,9.0,-18.0,1
6.0,-236.0,-72.0,110.0,9.0,-19.0,1
5.0,-237.0,-74.0,112.0,9.0,-19.0,1
6.0,-237.0,-75.0,113.0,5.0,-19.0,1
7.0,-237.0,-71.0,114.0,4.0,-21.0,1
7.0,-236.0,-71.0,117.0,2.0,-22.0,1
3.0,-235.0,-73.0,119.0,1.0,-24.0,1
1.0,-236.0,-79.0,122.0,-1.0,-26.0,1
5.0,-238.0,-73.0,123.0,-1.0,-25.0,1
5.0,-238.0,-74.0,124.0,-2.0,-26.0,1
4.0,-233.0,-72.0,124.0,-4.0,-25.0,1
5.0,-237.0,-73.0,122.0,-4.0,-26.0,1
7.0,-234.0,-71.0,122.0,-6.0,-25.0,1
7.0,-237.0,-75.0,120.0,-8.0,-26.0,1
5.0,-236.0,-71.0,119.0,-10.0,-26.0,1
6.0,-234.0,-71.0,117.0,-12.0,-27.0,1
3.0,-235.0,-75.0,117.0,-13.0,-27.0,1
4.0,-236.0,-72.0,117.0,-13.0,-27.0,1
5.0,-227.0,-73.0,120.0,-15.0,-28.0,1
4.0,-235.0,-78.0,126.0,-14.0,-27.0,1
5.0,-235.0,-75.0,129.0,-15.0,-30.0,1
5.0,-238.0,-74.0,132.0,-17.0,-29.0,1
7.0,-235.0,-75.0,135.0,-18.0,-31.0,1
6.0,-236.0,-75.0,136.0,-20.0,-34.0,1
5.0,-237.0,-74.0,137.0,-20.0,-34.0,1
6.0,-238.0,-73.0,135.0,-21.0,-34.0,1
6.0,-237.0,-73.0,132.0,-21.0,-34.0,1
5.0,-236.0,-72.0,130.0,-21.0,-35.0,1
7.0,-241.0,-68.0,127.0,-23.0,-33.0,1
3.0,-239.0,-72.0,126.0,-24.0,-33.0,1
2.0,-238.0,-71.0,124.0,-25.0,-33.0,1
3.0,-237.0,-67.0,125.0,-25.0,-34.0,1
6.0,-238.0,-66.0,129.0,-24.0,-35.0,1
5.0,-239.0,-67.0,134.0,-26.0,-34.0,1
4.0,-240.0,-67.0,140.0,-27.0,-37.0,1
6.0,-236.0,-70.0,144.0,-28.0,-39.0,1
4.0,-236.0,-66.0,148.0,-27.0,-41.0,1
7.0,-237.0,-69.0,152.0,-27.0,-44.0,1
4.0,-238.0,-68.0,156.0,-29.0,-46.0,1
5.0,-237.0,-68.0,158.0,-28.0,-52.0,1
4.0,-236.0,-69.0,158.0,-29.0,-56.0,1
6.0,-235.0,-64.0,160.0,-29.0,-59.0,1
7.0,-236.0,-66.0,159.0,-28.0,-63.0,1
5.0,-238.0,-66.0,156.0,-27.0,-66.0,1
5.0,-234.0,-65.0,153.0,-26.0,-71.0,1
5.0,-234.0,-66.0,150.0,-26.0,-76.0,1
4.0,-231.0,-68.0,145.0,-23.0,-78.0,1
4.0,-236.0,-69.0,141.0,-18.0,-80.0,1
5.0,-234.0,-70.0,133.0,-13.0,-82.0,1
8.0,-234.0,-67.0,127.0,-7.0,-82.0,1
10.0,-243.0,-70.0,122.0,-2.0,-80.0,1
14.0,-237.0,-67.0,117.0,1.0,-76.0,1
16.0,-241.0,-69.0,112.0,6.0,-74.0,1
12.0,-238.0,-69.0,110.0,7.0,-72.0,1
13.0,-238.0,-71.0,108.0,8.0,-66.0,1
16.0,-236.0,-69.0,109.0,8.0,-62.0,1
16.0,-238.0,-68.0,110.0,8.0,-57.0,1
16.0,-242.0,-67.0,114.0,7.0,-51.0,1
16.0,-238.0,-68.0,117.0,6.0,-44.0,1
19.0,-238.0,-65.0,120.0,5.0,-40.0,1
16.0,-239.0,-67.0,121.0,2.0,-37.0,1
19.0,-239.0,-69.0,120.0,-1.0,-32.0,1
13.0,-240.0,-67.0,117.0,2.0,-29.0,1
17.0,-242.0,-66.0,112.0,5.0,-26.0,1
14.0,-242.0,-66.0,107.0,8.0,-25.0,1
11.0,-241.0,-66.0,102.0,12.0,-26.0,1
6.0,-239.0,-66.0,98.0,18.0,-25.0,1
6.0,-240.0,-64.0,97.0,22.0,-25.0,1
3.0,-238.0,-66.0,100.0,23.0,-27.0,1
5.0,-246.0,-67.0,104.0,24.0,-28.0,1
3.0,-240.0,-67.0,109.0,25.0,-30.0,1
5.0,-240.0,-68.0,111.0,27.0,-29.0,1
1.0,-240.0,-69.0,113.0,29.0,-31.0,1
6.0,-237.0,-66.0,109.0,32.0,-27.0,1
5.0,-240.0,-67.0,103.0,28.0,-25.0,1
3.0,-238.0,-67.0,96.0,24.0,-26.0,1
5.0,-239.0,-64.0,87.0,17.0,-25.0,1
5.0,-237.0,-66.0,80.0,9.0,-23.0,1
2.0,-239.0,-66.0,72.0,1.0,-19.0,1
1.0,-238.0,-65.0,68.0,-8.0,-18.0,1
3.0,-240.0,-64.0,66.0,-16.0,-16.0,1
5.0,-240.0,-64.0,65.0,-22.0,-12.0,1
8.0,-243.0,-65.0,64.0,-26.0,-12.0,1
4.0,-242.0,-62.0,68.0,-27.0,-11.0,1
6.0,-242.0,-64.0,72.0,-28.0,-9.0,1
7.0,-243.0,-63.0,76.0,-29.0,-8.0,1
8.0,-240.0,-66.0,83.0,-27.0,-6.0,1
8.0,-243.0,-63.0,90.0,-26.0,-6.0,1
8.0,-246.0,-68.0,96.0,-25.0,-5.0,1
8.0,-240.0,-66.0,101.0,-26.0,-6.0,1
7.0,-243.0,-63.0,107.0,-26.0,-7.0,1
11.0,-243.0,-62.0,112.0,-27.0,-6.0,1
6.0,-241.0,-62.0,115.0,-29.0,-7.0,1
7.0,-240.0,-63.0,120.0,-28.0,-9.0,1
10.0,-242.0,-65.0,121.0,-29.0,-11.0,1
7.0,-243.0,-64.0,125.0,-28.0,-13.0,1
7.0,-242.0,-62.0,127.0,-28.0,-14.0,1
6.0,-243.0,-65.0,129.0,-28.0,-14.0,1
5.0,-245.0,-64.0,131.0,-24.0,-13.0,1
6.0,-244.0,-66.0,133.0,-20.0,-13.0,1
6.0,-241.0,-70.0,130.0,-13.0,-9.0,1
10.0,-240.0,-70.0,126.0,-7.0,-4.0,1
8.0,-236.0,-77.0,121.0,1.0,0.0,1
5.0,-236.0,-75.0,111.0,7.0,4.0,1
8.0,-229.0,-75.0,105.0,11.0,6.0,1
7.0,-236.0,-72.0,98.0,11.0,9.0,1
6.0,-230.0,-77.0,94.0,7.0,9.0,1
7.0,-226.0,-75.0,87.0,3.0,10.0,1
5.0,-223.0,-73.0,81.0,-1.0,12.0,1
9.0,-225.0,-75.0,76.0,-6.0,14.0,1
7.0,-225.0,-73.0,69.0,-10.0,19.0,1
8.0,-223.0,-74.0,62.0,-13.0,23.0,1
9.0,-220.0,-76.0,54.0,-16.0,25.0,1
6.0,-218.0,-78.0,46.0,-16.0,30.0,1
9.0,-219.0,-78.0,41.0,-15.0,35.0,1
11.0,-216.0,-82.0,39.0,-18.0,39.0,1
11.0,-215.0,-83.0,28.0,-20.0,43.0,1
4.0,-209.0,-90.0,13.0,-23.0,48.0,1
4.0,-213.0,-92.0,-9.0,-26.0,54.0,1
3.0,-208.0,-94.0,-37.0,-31.0,62.0,1
2.0,-204.0,-97.0,-64.0,-38.0,71.0,1
7.0,-208.0,-96.0,-87.0,-49.0,80.0,1
7.0,-204.0,-95.0,-102.0,-59.0,90.0,1
7.0,-201.0,-100.0,-112.0,-69.0,98.0,1
